BGP_ID,Lat,Long,Johanna Pop_ID,State,CityTown,Climate,Urban,Sex,Month,Day,Record_no,Inversion_geno,inv_k3,Band_no,color,Population,sample #,raw data,coverage,Q20(%),Q30(%),GC(%),Final DNA Quant,F_MISS,MEAN_DEPTH,pop1,pop2,Body Feathers/Upper Calamus,
21N05253,32.0385,-85.47163,east,AL,Midway,,,M,5,26,,BB,BB,270100789,#5aae61,eastern,Y_21N05253,5030454600,4.451729735,98.16,94.98,43.92,0.503565,0.0492304,6.11501,0.000101,0.999899,,
22N00539,35.89417,-121.0747,?,CA,Jolon,,,M,5,5,,AA,AwAw,289160402,#004488,western,Y_22N00539,4311990600,3.815920885,98.33,95.16,42.67,2.267335,0.0414322,5.70359,0.9998985,0.0001015,,
22N00540,35.89417,-121.0747,?,CA,Jolon,,,M,6,15,,AA,AwAw,289160406,#004488,western,Y_22N00540,4963868700,4.392804159,98.01,94.63,45.11,0.42027,0.0394738,6.3,0.9998986,0.0001014,,
22N01599,45.26224,-118.0324,washington,OR,La Grande,,,F,7,2,,AA,AwAw,273148210,#004488,western,Y_22N01599,5318045400,4.706234867,97.92,94.44,46.34,0.339435,0.0241149,7.35193,0.9998985,0.0001015,,
22N01692,36.92778,-88.46417,east,KY,Benton,,,M,5,27,,BB,BB,282104709,#5aae61,eastern,Y_22N01692,6347265900,5.617049469,98.24,95.01,43.43,0.497415,0.0203961,7.74409,0.0001011,0.9998989,,
22N01693,36.92778,-88.46417,east,KY,Benton,,,M,5,27,,BB,BB,282104710,#5aae61,eastern,Y_22N01693,3345637200,2.960740885,97.96,94.63,43.96,0.18285,0.153958,3.59953,0.0001015,0.9998985,,
22N08103,39.49481,-105.0873,front_range,CO,Littleton,,,M,5,24,,AA,AwAw,289142564,#004488,western,Y_22N08103,5392165800,4.771828142,98.13,94.9,45.21,0.4069,0.0295686,6.97865,0.9690974,0.0309026,,
22N08104,39.49481,-105.0873,front_range,CO,Littleton,,,F,5,22,,AA,AwAw,283178914,#004488,western,Y_22N08104,5844066000,5.171739823,98.31,95.24,41.72,0.49179,0.0376898,7.04391,0.9529048,0.0470952,,
22N18784,40.57851,-105.1793,front_range,CO,Fort Collins,,,M,8,31,,AA,AwAw,133190500,#004488,western,Y_22N18784,5858809800,5.184787434,98.26,94.97,42.52,1.93889,0.0163586,7.42218,0.9771947,0.0228053,,
22N19127,40.24651,-80.04294,east,PA,Pittsburgh,,,M,6,21,,BB,BB,289143738,#5aae61,eastern,Y_22N19127,4825761600,4.270585487,98.17,94.96,43.8,0.525875,0.0458499,5.81839,0.0001007,0.9998993,,
23N01668,43.54217,-116.09756,idaho,ID,Boise,,,F,6,15,,AA,AwAw,23128165,#004488,western,Y_23N01668,4702445100,4.161455841,97.94,94.47,46.39,0.356975,0.0339797,6.53593,0.9998771,0.0001229,,
23N01669,43.54217,-116.09756,idaho,ID,Boise,,,M,6,6,,AA,AwAw,23138101,#004488,western,Y_23N01669,5552319600,4.913557168,98.17,94.95,43.6,0.491845,0.0298636,6.75368,0.9998984,0.0001016,,
23N02732,35.67293,-118.29076,interior_W,CA,Weldon,,,U,5,31,,AA,AwAw,NA,#004488,western,Y_23N02732,5244691200,4.641319646,98.17,94.99,43.47,0.469015,0.0389022,6.37808,0.9998987,0.0001013,,
23N03263,33.74164,-115.39421,S_coastal,CA,Desert Center,,Y,U,5,14,,AA,AwAw,NA,#004488,western,Y_23N03263,4108649400,3.63597292,98.08,94.74,48.06,0.22525,0.0809589,4.2892,0.9998985,0.0001015,Y - body feathers used,
23N06830,36.595,-82.18861,east,TN,Bristol,,,F,8,31,,BB,BB,244158805,#5aae61,eastern,Y_23N06830,6546179700,5.793079381,98.28,95.01,43.19,2.151945,0.217436,2.36879,0.0001015,0.9998985,,
23N08702,34.3,-118.3,S_coastal,CA,Los Angeles,,,M,5,5,,AA,AwAw,294181089,#004488,western,Y_23N08702,5512232700,4.878082035,98.18,94.93,43,0.642145,0.0292669,7.07654,0.9998989,0.0001012,,
23N10935,38.799,-109.205,interior_W,UT,NA,,,M,8,22,,AA,AwAw,270144802,#004488,western,Y_23N10935,7086781800,6.271488319,98.25,94.84,42.27,2.45702,0.0064409,8.92809,0.9998984,0.0001015,,
23N10936,38.799,-109.205,interior_W,UT,NA,,,U,8,22,,AA,AwAw,270144803,#004488,western,Y_23N10936,7190750700,6.363496195,98.25,95.06,43.75,0.9461,0.00559413,9.61451,0.9998984,0.0001016,,
23N10948,38.799,-109.205,interior_W,UT,NA,,,M,8,18,,AA,AwAw,273100300,#004488,western,Y_23N10948,8227411200,7.280894867,98.34,95.18,42.22,2.29145,0.00437437,9.94841,0.9998985,0.0001015,,
23N13886,41.70801,-103.67838,front_range_N,NE,Scotts Bluff,,,M,8,27,,AB,AwB,279115737,#004488,western,Y_23N13886,6870301500,6.079912832,98.13,94.65,42.86,2.147315,0.00745026,8.44618,0.9170026,0.0829975,,
23N13887,41.70801,-103.67838,front_range_N,NE,Scotts Bluff,,,M,8,27,,AB,AwB,279115738,#004488,western,Y_23N13887,6773826600,5.994536814,98.24,94.87,42.46,2.156305,0.00869945,8.71762,0.9212502,0.0787499,,
23N13888,42.70901,-103.02334,front_range_N,NE,Dawes,,,M,8,30,,AA,AwAw,283171729,#004488,western,Y_23N13888,7318745700,6.476766106,98.32,95.13,42.68,1.36636,0.00733402,9.23426,0.9473095,0.0526905,,
23N13891,38.54037,-104.46607,front_range,CO,El Paso,,,M,5,6,,AA,AwAw,283179291,#004488,western,Y_23N13891,3642043200,3.22304708,97.84,94.28,48.86,0.14165,0.102257,4.69598,0.9795255,0.0204745,,
23N13892,38.54037,-104.46607,front_range,CO,El Paso,,,M,5,9,,AA,AwAw,283179297,#004488,western,Y_23N13892,2704468200,2.39333469,97.79,94.16,48.83,0.16218,0.181407,3.27453,0.9707654,0.0292347,,
23N13894,39.9414,-104.75182,front_range,CO,Adams,,,M,8,24,,AA,AwAw,289179607,#004488,western,Y_23N13894,6611711400,5.851072035,98.26,95.08,43.34,1.07719,0.00906729,9.08016,0.9834442,0.0165558,,
23N15925,39.21592,-121.04174,coastal_N,CA,Grass Valley,,Y,F,7,9,,AA,AwAw,289131141,#004488,western,Y_23N15925,5051142000,4.470037168,97.97,94.45,45.9,0.39451,0.02451,7.15268,0.9998989,0.0001012,,
23N16049,33.50201,-86.80777,east,AL,Bimingham,,,U,5,3,,BB,BB,NA,#5aae61,eastern,Y_23N16049,6776679300,5.997061327,98.23,94.83,42.41,1.55308,0.0120041,7.99391,0.0001006,0.9998993,,
23N16087,32.0385,-85.47163,east,AL,Midway,,,F,6,2,,BB,BB,283159886,#5aae61,eastern,Y_23N16087,5116118400,4.527538407,98,94.56,44.7,0.45152,0.0332712,6.5925,0.0001013,0.9998987,,
23N16088,32.0385,-85.47163,east,AL,Midway,,,M,6,16,,BB,BB,283159889,#5aae61,eastern,Y_23N16088,4504824300,3.986570177,97.99,94.54,48.39,0.265615,0.0395966,6.05859,0.0055925,0.9944075,,
